
# CAT Stock - Sorted by Distance from 150-Day SMA

## Most Below SMA (Bottom 20)

| Rank | Date | Price | 150-Day SMA | Distance ($) | Distance (%) |
| 80 | 2025-06-06 | $353.35 | $354.12 | -$0.77 | -0.22% |
| 81 | 2025-06-13 | $357.05 | $353.47 | +$3.58 | +1.01% |
| 82 | 2025-06-09 | $358.07 | $353.98 | +$4.09 | +1.16% |
| 83 | 2025-06-10 | $358.57 | $353.86 | +$4.71 | +1.33% |
| 84 | 2025-06-17 | $357.68 | $352.77 | +$4.91 | +1.39% |
| 85 | 2025-06-18 | $359.80 | $352.55 | +$7.25 | +2.06% |
| 86 | 2025-06-12 | $360.96 | $353.65 | +$7.31 | +2.07% |
| 87 | 2025-06-20 | $360.52 | $352.31 | +$8.21 | +2.33% |
| 88 | 2025-06-16 | $362.44 | $353.11 | +$9.33 | +2.64% |
| 89 | 2025-06-11 | $363.14 | $353.75 | +$9.39 | +2.65% |
| 90 | 2025-06-23 | $366.23 | $352.13 | +$14.10 | +4.00% |
| 91 | 2025-06-25 | $371.58 | $351.93 | +$19.65 | +5.58% |
| 92 | 2025-06-24 | $373.02 | $352.04 | +$20.98 | +5.96% |
| 93 | 2025-06-26 | $381.88 | $351.92 | +$29.96 | +8.51% |
| 94 | 2025-06-27 | $384.71 | $351.92 | +$32.79 | +9.32% |
| 95 | 2025-06-30 | $388.21 | $351.96 | +$36.25 | +10.30% |
| 96 | 2025-07-01 | $390.92 | $352.02 | +$38.90 | +11.05% |
| 97 | 2025-07-07 | $391.51 | $351.99 | +$39.52 | +11.23% |
| 98 | 2025-07-08 | $394.29 | $351.90 | +$42.39 | +12.05% |
| 99 | 2025-07-03 | $397.86 | $352.08 | +$45.78 | +13.00% |
| 100 | 2025-07-02 | $398.43 | $352.08 | +$46.35 | +13.16% |
| 101 | 2025-08-15 | $407.79 | $359.61 | +$48.18 | +13.40% |
| 102 | 2025-08-11 | $408.54 | $358.28 | +$50.26 | +14.03% |
| 103 | 2025-07-09 | $402.18 | $351.89 | +$50.29 | +14.29% |
| 104 | 2025-09-03 | $415.12 | $362.69 | +$52.43 | +14.46% |
| 105 | 2025-08-18 | $412.64 | $360.02 | +$52.62 | +14.62% |
| 106 | 2025-09-02 | $416.05 | $362.53 | +$53.52 | +14.76% |
| 107 | 2025-09-09 | $418.09 | $363.91 | +$54.18 | +14.89% |
| 108 | 2025-07-15 | $404.64 | $352.00 | +$52.64 | +14.95% |
| 109 | 2025-08-12 | $412.71 | $358.60 | +$54.11 | +15.09% |
| 110 | 2025-08-13 | $413.70 | $358.93 | +$54.77 | +15.26% |
| 111 | 2025-07-14 | $405.77 | $351.97 | +$53.80 | +15.29% |
| 112 | 2025-07-11 | $405.92 | $351.93 | +$53.99 | +15.34% |
| 113 | 2025-08-19 | $416.09 | $360.38 | +$55.71 | +15.46% |
| 114 | 2025-08-29 | $419.04 | $362.39 | +$56.65 | +15.63% |
| 115 | 2025-08-21 | $417.89 | $360.99 | +$56.90 | +15.76% |
| 116 | 2025-09-04 | $420.22 | $362.87 | +$57.35 | +15.80% |
| 117 | 2025-07-10 | $408.33 | $351.90 | +$56.43 | +16.03% |
| 118 | 2025-09-10 | $422.91 | $364.32 | +$58.59 | +16.08% |
| 119 | 2025-08-14 | $417.50 | $359.30 | +$58.20 | +16.20% |
| 120 | 2025-09-08 | $422.78 | $363.53 | +$59.25 | +16.30% |
| 121 | 2025-07-21 | $410.07 | $352.52 | +$57.55 | +16.33% |
| 122 | 2025-08-08 | $416.52 | $357.95 | +$58.57 | +16.36% |
| 123 | 2025-09-05 | $423.08 | $363.19 | +$59.89 | +16.49% |
| 124 | 2025-08-20 | $420.59 | $360.70 | +$59.89 | +16.60% |
| 125 | 2025-08-07 | $417.12 | $357.59 | +$59.53 | +16.65% |
| 126 | 2025-07-16 | $412.88 | $352.12 | +$60.76 | +17.25% |
| 127 | 2025-07-18 | $413.71 | $352.37 | +$61.34 | +17.41% |
| 128 | 2025-09-12 | $431.52 | $365.24 | +$66.28 | +18.15% |
| 129 | 2025-09-11 | $431.38 | $364.80 | +$66.58 | +18.25% |
| 130 | 2025-07-22 | $417.19 | $352.71 | +$64.48 | +18.28% |
| 131 | 2025-07-17 | $418.07 | $352.28 | +$65.79 | +18.68% |
| 132 | 2025-08-26 | $431.26 | $361.89 | +$69.37 | +19.17% |
| 133 | 2025-09-15 | $435.94 | $365.72 | +$70.22 | +19.20% |
| 134 | 2025-08-27 | $432.67 | $362.12 | +$70.55 | +19.48% |
| 135 | 2025-08-25 | $432.30 | $361.67 | +$70.63 | +19.53% |
| 136 | 2025-08-06 | $427.72 | $357.23 | +$70.49 | +19.73% |
| 137 | 2025-08-28 | $434.91 | $362.31 | +$72.60 | +20.04% |
| 138 | 2025-09-16 | $440.67 | $366.24 | +$74.43 | +20.32% |
| 139 | 2025-08-01 | $428.69 | $355.93 | +$72.76 | +20.44% |
| 140 | 2025-08-22 | $435.67 | $361.36 | +$74.31 | +20.56% |
| 141 | 2025-07-23 | $427.59 | $353.02 | +$74.57 | +21.12% |
| 142 | 2025-12-31 | $572.87 | $472.28 | +$100.59 | +21.30% |
| 143 | 2025-07-29 | $430.05 | $354.53 | +$75.52 | +21.30% |
| 144 | 2025-07-24 | $429.52 | $353.35 | +$76.18 | +21.56% |
| 145 | 2025-08-05 | $434.23 | $356.81 | +$77.42 | +21.70% |
| 146 | 2025-08-04 | $433.70 | $356.37 | +$77.33 | +21.70% |
| 147 | 2025-07-28 | $432.94 | $354.09 | +$78.85 | +22.27% |
| 148 | 2025-07-30 | $434.12 | $355.02 | +$79.10 | +22.28% |
| 149 | 2025-12-17 | $561.89 | $458.52 | +$103.37 | +22.54% |
| 150 | 2025-07-25 | $433.75 | $353.71 | +$80.04 | +22.63% |
| 151 | 2025-12-30 | $577.39 | $470.79 | +$106.60 | +22.64% |
| 152 | 2025-09-17 | $450.66 | $366.83 | +$83.83 | +22.85% |
